name,points,path,signal,time,avg_run,avg_iiopt,score,call_str
ch130,130,6156,Improvement limit,5.95,3.04684,0.0001476400261,0.75,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 130 2 3 0.99 0.1 1.0150841504760744e-06
ch130,130,6156,Improvement limit,5.86,3.0006,0.0001461219035,0.75,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 130 2 3 0.99 0.1 1.0150841504760744e-06
ch130,130,6179,Improvement limit,12.98,6.55393,0.0001419739028,1.13,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 97.5 2 3 0.99 0.1 1.0150841504760744e-06
ch130,130,6218,Improvement limit,3.13,1.59725,0.0001457467643,1.77,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 65.0 2 3 0.99 0.1 1.0150841504760744e-06
ch130,130,6203,Improvement limit,2.55,1.29776,0.000145594351,1.52,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 32.5 2 3 0.99 0.1 1.0150841504760744e-06
ch130,130,6167,Improvement limit,2.39,1.20691,0.0001427757161,0.93,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 16.25 2 3 0.99 0.1 1.0150841504760744e-06
ch130,130,6177,Improvement limit,8.9,4.51487,0.0001785654741,1.1,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 130 1 1 0.99 0.1 1.0150841504760744e-06
ch130,130,6192,Improvement limit,6.02,3.08582,0.000167673794,1.34,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 130 1 2 0.99 0.1 1.0150841504760744e-06
ch130,130,6167,Improvement limit,8.47,4.29823,0.0001595967033,0.93,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 130 1 3 0.99 0.1 1.0150841504760744e-06
ch130,130,6156,Improvement limit,12.58,6.34546,0.0001544851648,0.75,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 130 1 4 0.99 0.1 1.0150841504760744e-06
ch130,130,6177,Improvement limit,8.35,4.24574,0.000158418165,1.1,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 130 2 1 0.99 0.1 1.0150841504760744e-06
ch130,130,6178,Improvement limit,13.5,6.83892,0.0001494623303,1.11,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 130 2 2 0.99 0.1 1.0150841504760744e-06
ch130,130,6156,Improvement limit,5.84,2.98175,0.0001455880052,0.75,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 130 2 3 0.99 0.1 1.0150841504760744e-06
ch130,130,6183,Improvement limit,10.16,5.13844,0.0001419215086,1.19,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 130 2 4 0.99 0.1 1.0150841504760744e-06
ch130,130,6164,Improvement limit,5.32,2.73711,0.000152395791,0.88,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 130 3 1 0.99 0.1 1.0150841504760744e-06
ch130,130,6200,Improvement limit,9.84,5.00323,0.0001374246763,1.47,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 130 3 2 0.99 0.1 1.0150841504760744e-06
ch130,130,6184,Improvement limit,9.09,4.61472,0.000137944665,1.21,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 130 3 3 0.99 0.1 1.0150841504760744e-06
ch130,130,6167,Improvement limit,6.56,3.34761,0.0001386353617,0.93,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 130 3 4 0.99 0.1 1.0150841504760744e-06
ch130,130,6171,Improvement limit,6.8,3.49045,0.0001302405495,1.0,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 130 4 1 0.99 0.1 1.0150841504760744e-06
ch130,130,6204,Improvement limit,11.32,5.75605,0.0001226317471,1.54,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 130 4 2 0.99 0.1 1.0150841504760744e-06
ch130,130,6189,Improvement limit,6.1,3.11374,0.000136483871,1.29,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 130 4 3 0.99 0.1 1.0150841504760744e-06
ch130,130,6162,Improvement limit,9.51,4.82123,0.0001361428232,0.85,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 130 4 4 0.99 0.1 1.0150841504760744e-06
ch130,130,6156,Improvement limit,5.86,2.99314,0.0001453458931,0.75,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 130 2 3 0.99 0.1 1.0150841504760744e-06
ch130,130,6176,Improvement limit,9.43,4.78521,0.0001425388622,1.08,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 130 2 3 0.99 0.2 1.0150841504760744e-06
ch130,130,6174,Improvement limit,6.11,3.12007,0.0001438638958,1.05,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 130 2 3 0.99 0.3 1.0150841504760744e-06
ch130,130,6170,Improvement limit,9.13,4.63856,0.0001432551839,0.98,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 130 2 3 0.99 0.4 1.0150841504760744e-06
ch130,130,6167,Improvement limit,13.01,6.5898,0.000136859572,0.93,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 130 2 3 0.95 0.1 1.0150841504760744e-06
ch130,130,6174,Improvement limit,6.19,3.17179,0.0001455684864,1.05,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 130 2 3 0.95 0.2 1.0150841504760744e-06
ch130,130,6167,Improvement limit,12.91,6.55744,0.0001346445922,0.93,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 130 2 3 0.95 0.3 1.0150841504760744e-06
ch130,130,6200,Improvement limit,8.82,4.48071,0.0001415831461,1.47,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 130 2 3 0.95 0.4 1.0150841504760744e-06
ch130,130,6156,Improvement limit,5.83,2.98565,0.0001415508475,0.75,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 130 2 3 0.9 0.1 1.0150841504760744e-06
ch130,130,6200,Improvement limit,6.7,3.41954,0.0001408335973,1.47,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 130 2 3 0.9 0.2 1.0150841504760744e-06
