name,points,path,signal,time,avg_run,avg_iiopt,score,call_str
d198,198,15897,Improvement limit,73.57,37.16287,0.0004105991094,0.74,./aco_2opt_wc 120 ./problems/d198.tsp 69 500 198 2 3 0.9 0.2 2.661662740714124e-07
d198,198,15897,Improvement limit,73.05,36.9201,0.0004124478386,0.74,./aco_2opt_wc 120 ./problems/d198.tsp 69 500 198 2 3 0.9 0.2 2.661662740714124e-07
d198,198,15884,Improvement limit,27.72,13.9935,0.000413670069,0.66,./aco_2opt_wc 120 ./problems/d198.tsp 69 500 148.5 2 3 0.9 0.2 2.661662740714124e-07
d198,198,15890,Improvement limit,21.15,10.68235,0.0004175553668,0.7,./aco_2opt_wc 120 ./problems/d198.tsp 69 500 99.0 2 3 0.9 0.2 2.661662740714124e-07
d198,198,15942,Improvement limit,7.03,3.57003,0.0004205211268,1.03,./aco_2opt_wc 120 ./problems/d198.tsp 69 500 49.5 2 3 0.9 0.2 2.661662740714124e-07
d198,198,15959,Improvement limit,4.29,2.16406,0.0004190032772,1.13,./aco_2opt_wc 120 ./problems/d198.tsp 69 500 24.75 2 3 0.9 0.2 2.661662740714124e-07
d198,198,15962,Improvement limit,16.09,8.19342,0.0004763601399,1.15,./aco_2opt_wc 120 ./problems/d198.tsp 69 500 99.0 1 1 0.9 0.2 2.661662740714124e-07
d198,198,16012,Improvement limit,12.18,6.21402,0.0004438171883,1.47,./aco_2opt_wc 120 ./problems/d198.tsp 69 500 99.0 1 2 0.9 0.2 2.661662740714124e-07
d198,198,15926,Improvement limit,11.73,5.97124,0.000428548365,0.93,./aco_2opt_wc 120 ./problems/d198.tsp 69 500 99.0 1 3 0.9 0.2 2.661662740714124e-07
d198,198,15988,Improvement limit,12.77,6.50536,0.0004203863636,1.32,./aco_2opt_wc 120 ./problems/d198.tsp 69 500 99.0 1 4 0.9 0.2 2.661662740714124e-07
d198,198,15903,Improvement limit,29.11,14.76168,0.000419708445,0.78,./aco_2opt_wc 120 ./problems/d198.tsp 69 500 99.0 2 1 0.9 0.2 2.661662740714124e-07
