name,points,path,signal,time,avg_run,avg_iiopt,score,call_str
eil76,76,538,Improvement limit,1.02,0.53177,1.587510121e-05,0.0,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 4 1 0.8 0.1 1.934984520123839e-05
eil76,76,538,Improvement limit,1.11,0.56405,1.806963563e-05,0.0,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 4 1 0.8 0.1 1.934984520123839e-05
eil76,76,540,Improvement limit,0.83,0.43414,3.216764133e-05,0.37,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 57.0 4 1 0.8 0.1 1.934984520123839e-05
eil76,76,540,Improvement limit,0.54,0.27649,3.253451251e-05,0.37,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 38.0 4 1 0.8 0.1 1.934984520123839e-05
eil76,76,540,Improvement limit,0.24,0.12472,3.564593301e-05,0.37,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 19.0 4 1 0.8 0.1 1.934984520123839e-05
eil76,76,541,Improvement limit,0.14,0.07152,2.677114428e-05,0.56,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 9.5 4 1 0.8 0.1 1.934984520123839e-05
eil76,76,547,Improvement limit,1.4,0.71868,5.401464047e-05,1.67,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 1 1 0.8 0.1 1.934984520123839e-05
eil76,76,540,Improvement limit,1.32,0.67101,4.826111935e-05,0.37,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 1 2 0.8 0.1 1.934984520123839e-05
eil76,76,543,Improvement limit,1.41,0.71627,4.891744773e-05,0.93,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 1 3 0.8 0.1 1.934984520123839e-05
eil76,76,540,Improvement limit,1.12,0.57937,4.575e-05,0.37,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 1 4 0.8 0.1 1.934984520123839e-05
eil76,76,538,Improvement limit,1.46,0.75153,4.048914474e-05,0.0,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 2 1 0.8 0.1 1.934984520123839e-05
eil76,76,538,Improvement limit,1.14,0.57939,4.081996658e-05,0.0,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 2 2 0.8 0.1 1.934984520123839e-05
eil76,76,539,Improvement limit,1.7,0.8687,4.069043577e-05,0.19,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 2 3 0.8 0.1 1.934984520123839e-05
eil76,76,539,Improvement limit,1.28,0.64732,4.172913534e-05,0.19,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 2 4 0.8 0.1 1.934984520123839e-05
eil76,76,539,Improvement limit,1.75,0.88621,3.456328947e-05,0.19,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 3 1 0.8 0.1 1.934984520123839e-05
eil76,76,540,Improvement limit,0.99,0.51721,2.600245317e-05,0.37,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 3 2 0.8 0.1 1.934984520123839e-05
eil76,76,540,Improvement limit,1.25,0.63667,3.508625731e-05,0.37,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 3 3 0.8 0.1 1.934984520123839e-05
eil76,76,541,Improvement limit,0.99,0.50367,3.821985646e-05,0.56,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 3 4 0.8 0.1 1.934984520123839e-05
eil76,76,538,Improvement limit,1.05,0.54559,1.668927126e-05,0.0,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 4 1 0.8 0.1 1.934984520123839e-05
eil76,76,541,Improvement limit,1.4,0.72871,3.323767488e-05,0.56,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 4 2 0.8 0.1 1.934984520123839e-05
eil76,76,540,Improvement limit,1.14,0.58049,3.317722039e-05,0.37,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 4 3 0.8 0.1 1.934984520123839e-05
eil76,76,542,Improvement limit,1.02,0.52429,3.464785905e-05,0.74,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 4 4 0.8 0.1 1.934984520123839e-05
eil76,76,538,Improvement limit,1.2,0.61619,3.917663477e-05,0.0,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 4 1 0.99 0.1 1.934984520123839e-05
eil76,76,540,Improvement limit,1.16,0.59838,3.403409091e-05,0.37,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 4 1 0.99 0.2 1.934984520123839e-05
eil76,76,540,Improvement limit,1.15,0.58627,3.307336523e-05,0.37,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 4 1 0.99 0.3 1.934984520123839e-05
eil76,76,540,Improvement limit,1.34,0.68647,3.296291866e-05,0.37,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 4 1 0.99 0.4 1.934984520123839e-05
eil76,76,538,Improvement limit,1.08,0.55674,3.32676146e-05,0.0,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 4 1 0.95 0.1 1.934984520123839e-05
eil76,76,540,Improvement limit,1.63,0.82985,3.564780702e-05,0.37,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 4 1 0.95 0.2 1.934984520123839e-05
eil76,76,540,Improvement limit,1.51,0.77104,3.456375313e-05,0.37,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 4 1 0.95 0.3 1.934984520123839e-05
eil76,76,538,Improvement limit,1.14,0.59025,3.5296875e-05,0.0,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 4 1 0.95 0.4 1.934984520123839e-05
eil76,76,538,Improvement limit,1.04,0.53598,3.306622807e-05,0.0,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 4 1 0.9 0.1 1.934984520123839e-05
eil76,76,538,Improvement limit,1.11,0.56211,3.47704918e-05,0.0,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 4 1 0.9 0.2 1.934984520123839e-05
eil76,76,540,Improvement limit,1.32,0.68028,3.350561404e-05,0.37,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 4 1 0.9 0.3 1.934984520123839e-05
eil76,76,540,Improvement limit,1.3,0.66253,3.222122807e-05,0.37,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 4 1 0.9 0.4 1.934984520123839e-05
eil76,76,538,Improvement limit,1.08,0.56157,1.75159919e-05,0.0,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 4 1 0.8 0.1 1.934984520123839e-05
eil76,76,538,Improvement limit,1.06,0.54811,3.50793934e-05,0.0,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 4 1 0.8 0.2 1.934984520123839e-05
eil76,76,538,Improvement limit,0.96,0.50481,2.050713649e-05,0.0,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 4 1 0.8 0.3 1.934984520123839e-05
eil76,76,538,Improvement limit,0.98,0.51675,2.079973238e-05,0.0,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 4 1 0.8 0.4 1.934984520123839e-05
eil76,76,538,Improvement limit,1.07,0.55707,1.730040486e-05,0.0,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 4 1 0.8 0.1 1.934984520123839e-05
eil76,76,540,Improvement limit,0.83,0.43524,3.214592036e-05,0.37,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 57.0 4 1 0.8 0.1 1.934984520123839e-05
eil76,76,540,Improvement limit,0.53,0.2748,3.31958585e-05,0.37,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 38.0 4 1 0.8 0.1 1.934984520123839e-05
eil76,76,540,Improvement limit,0.25,0.12885,3.758947368e-05,0.37,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 19.0 4 1 0.8 0.1 1.934984520123839e-05
eil76,76,541,Improvement limit,0.14,0.07101,2.6960199e-05,0.56,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 9.5 4 1 0.8 0.1 1.934984520123839e-05
eil76,76,547,Improvement limit,1.36,0.69038,5.253669385e-05,1.67,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 1 1 0.8 0.1 1.934984520123839e-05
eil76,76,540,Improvement limit,1.34,0.68635,4.982005189e-05,0.37,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 1 2 0.8 0.1 1.934984520123839e-05
eil76,76,543,Improvement limit,1.37,0.69879,4.689708003e-05,0.93,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 1 3 0.8 0.1 1.934984520123839e-05
eil76,76,540,Improvement limit,1.1,0.56107,4.555285088e-05,0.37,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 1 4 0.8 0.1 1.934984520123839e-05
eil76,76,538,Improvement limit,1.45,0.74135,4.008799342e-05,0.0,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 2 1 0.8 0.1 1.934984520123839e-05
eil76,76,538,Improvement limit,1.12,0.57606,4.026169591e-05,0.0,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 2 2 0.8 0.1 1.934984520123839e-05
eil76,76,539,Improvement limit,1.73,0.88312,4.157441992e-05,0.19,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 2 3 0.8 0.1 1.934984520123839e-05
eil76,76,539,Improvement limit,1.27,0.64544,4.020977444e-05,0.19,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 2 4 0.8 0.1 1.934984520123839e-05
eil76,76,539,Improvement limit,1.73,0.88007,3.416868421e-05,0.19,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 3 1 0.8 0.1 1.934984520123839e-05
eil76,76,540,Improvement limit,0.99,0.516,2.611797502e-05,0.37,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 3 2 0.8 0.1 1.934984520123839e-05
eil76,76,540,Improvement limit,1.28,0.65439,3.623519737e-05,0.37,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 3 3 0.8 0.1 1.934984520123839e-05
eil76,76,541,Improvement limit,0.97,0.4978,3.74861244e-05,0.56,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 3 4 0.8 0.1 1.934984520123839e-05
eil76,76,538,Improvement limit,1.03,0.53774,1.66917004e-05,0.0,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 4 1 0.8 0.1 1.934984520123839e-05
eil76,76,541,Improvement limit,1.39,0.71738,3.276848767e-05,0.56,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 4 2 0.8 0.1 1.934984520123839e-05
eil76,76,540,Improvement limit,1.15,0.59532,3.330633224e-05,0.37,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 4 3 0.8 0.1 1.934984520123839e-05
eil76,76,542,Improvement limit,1.04,0.53669,3.555753791e-05,0.74,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 4 4 0.8 0.1 1.934984520123839e-05
eil76,76,538,Improvement limit,1.21,0.61515,4.014374003e-05,0.0,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 4 1 0.99 0.1 1.934984520123839e-05
eil76,76,540,Improvement limit,1.19,0.60551,3.438437002e-05,0.37,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 4 1 0.99 0.2 1.934984520123839e-05
eil76,76,540,Improvement limit,1.13,0.58067,3.226475279e-05,0.37,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 4 1 0.99 0.3 1.934984520123839e-05
