name,points,path,signal,time,avg_run,avg_iiopt,score,call_str
fl1577,788.5,23583,Time limit,374.3,374.26177,0.08113051777,6.0,./aco_2opt_wc 120 ./problems/fl1577.tsp 69 500 788.5 2 3 0.9 0.5 4.450244992662213e-08
fl1577,788.5,23583,Time limit,376.12,376.08606,0.08208861041,6.0,./aco_2opt_wc 120 ./problems/fl1577.tsp 69 500 788.5 2 3 0.9 0.5 4.450244992662213e-08
fl1577,788.5,23583,Time limit,280.59,280.55788,0.08159042809,6.0,./aco_2opt_wc 120 ./problems/fl1577.tsp 69 500 591.375 2 3 0.9 0.5 4.450244992662213e-08
fl1577,788.5,24097,Time limit,187.52,187.47787,0.08222336548,8.31,./aco_2opt_wc 120 ./problems/fl1577.tsp 69 500 394.25 2 3 0.9 0.5 4.450244992662213e-08
fl1577,788.5,23234,Time limit,183.3,138.58374,0.07408090355,4.43,./aco_2opt_wc 120 ./problems/fl1577.tsp 69 500 197.125 2 3 0.9 0.5 4.450244992662213e-08
fl1577,788.5,23150,Time limit,137.66,92.40996,0.07413147619,4.05,./aco_2opt_wc 120 ./problems/fl1577.tsp 69 500 98.5625 2 3 0.9 0.5 4.450244992662213e-08
fl1577,788.5,23561,Time limit,147.0,100.84432,0.08798370408,5.9,./aco_2opt_wc 120 ./problems/fl1577.tsp 69 500 98.5625 1 1 0.9 0.5 4.450244992662213e-08
fl1577,788.5,23295,Time limit,139.92,94.50737,0.07816836395,4.7,./aco_2opt_wc 120 ./problems/fl1577.tsp 69 500 98.5625 1 2 0.9 0.5 4.450244992662213e-08
fl1577,788.5,23304,Time limit,137.26,91.78317,0.07434619048,4.74,./aco_2opt_wc 120 ./problems/fl1577.tsp 69 500 98.5625 1 3 0.9 0.5 4.450244992662213e-08
fl1577,788.5,23245,Time limit,136.19,91.04178,0.07071213605,4.48,./aco_2opt_wc 120 ./problems/fl1577.tsp 69 500 98.5625 1 4 0.9 0.5 4.450244992662213e-08
fl1577,788.5,23297,Time limit,145.72,100.37387,0.08586623129,4.71,./aco_2opt_wc 120 ./problems/fl1577.tsp 69 500 98.5625 2 1 0.9 0.5 4.450244992662213e-08
fl1577,788.5,23209,Time limit,139.35,94.19893,0.07549616327,4.31,./aco_2opt_wc 120 ./problems/fl1577.tsp 69 500 98.5625 2 2 0.9 0.5 4.450244992662213e-08
