name,points,path,signal,time,avg_run,avg_iiopt,score,call_str
pcb442,221.0,52516,Time limit,121.41,62.39451,0.002481364195,3.42,./aco_2opt_wc 120 ./problems/pcb442.tsp 69 500 221.0 2 3 0.9 0.1 7.313894124214936e-08
pcb442,221.0,52516,Time limit,122.12,62.87889,0.002503741733,3.42,./aco_2opt_wc 120 ./problems/pcb442.tsp 69 500 221.0 2 3 0.9 0.1 7.313894124214936e-08
pcb442,221.0,52695,Time limit,120.12,61.63085,0.002468377855,3.78,./aco_2opt_wc 120 ./problems/pcb442.tsp 69 500 165.75 2 3 0.9 0.1 7.313894124214936e-08
pcb442,221.0,52466,Time limit,121.33,61.67247,0.002424675029,3.32,./aco_2opt_wc 120 ./problems/pcb442.tsp 69 500 110.5 2 3 0.9 0.1 7.313894124214936e-08
pcb442,221.0,52443,Improvement limit,111.43,56.31703,0.002363445455,3.28,./aco_2opt_wc 120 ./problems/pcb442.tsp 69 500 55.25 2 3 0.9 0.1 7.313894124214936e-08
pcb442,221.0,52623,Improvement limit,36.05,18.27807,0.00243011304,3.63,./aco_2opt_wc 120 ./problems/pcb442.tsp 69 500 27.625 2 3 0.9 0.1 7.313894124214936e-08
pcb442,221.0,53727,Improvement limit,56.61,28.9521,0.002928348784,5.81,./aco_2opt_wc 120 ./problems/pcb442.tsp 69 500 55.25 1 1 0.9 0.1 7.313894124214936e-08
pcb442,221.0,53219,Improvement limit,80.17,40.56037,0.002763756256,4.81,./aco_2opt_wc 120 ./problems/pcb442.tsp 69 500 55.25 1 2 0.9 0.1 7.313894124214936e-08
pcb442,221.0,53296,Improvement limit,101.23,51.09577,0.002607272727,4.96,./aco_2opt_wc 120 ./problems/pcb442.tsp 69 500 55.25 1 3 0.9 0.1 7.313894124214936e-08
pcb442,221.0,53184,Improvement limit,58.11,29.49252,0.002581858477,4.74,./aco_2opt_wc 120 ./problems/pcb442.tsp 69 500 55.25 1 4 0.9 0.1 7.313894124214936e-08
pcb442,221.0,52436,Improvement limit,97.9,49.72735,0.002517181389,3.27,./aco_2opt_wc 120 ./problems/pcb442.tsp 69 500 55.25 2 1 0.9 0.1 7.313894124214936e-08
pcb442,221.0,52368,Time limit,120.53,60.76042,0.002387979849,3.13,./aco_2opt_wc 120 ./problems/pcb442.tsp 69 500 55.25 2 2 0.9 0.1 7.313894124214936e-08
pcb442,221.0,52443,Improvement limit,111.56,56.31982,0.002367307347,3.28,./aco_2opt_wc 120 ./problems/pcb442.tsp 69 500 55.25 2 3 0.9 0.1 7.313894124214936e-08
pcb442,221.0,51959,Improvement limit,82.2,41.67355,0.002331160943,2.33,./aco_2opt_wc 120 ./problems/pcb442.tsp 69 500 55.25 2 4 0.9 0.1 7.313894124214936e-08
pcb442,221.0,52105,Improvement limit,71.72,36.59432,0.002249018565,2.61,./aco_2opt_wc 120 ./problems/pcb442.tsp 69 500 55.25 3 1 0.9 0.1 7.313894124214936e-08
pcb442,221.0,51903,Improvement limit,86.22,43.82489,0.002148999526,2.22,./aco_2opt_wc 120 ./problems/pcb442.tsp 69 500 55.25 3 2 0.9 0.1 7.313894124214936e-08
pcb442,221.0,51706,Time limit,120.47,61.04145,0.002064691587,1.83,./aco_2opt_wc 120 ./problems/pcb442.tsp 69 500 55.25 3 3 0.9 0.1 7.313894124214936e-08
pcb442,221.0,52085,Time limit,120.5,61.08719,0.002096008182,2.57,./aco_2opt_wc 120 ./problems/pcb442.tsp 69 500 55.25 3 4 0.9 0.1 7.313894124214936e-08
pcb442,221.0,51857,Improvement limit,97.79,49.66454,0.002122634954,2.12,./aco_2opt_wc 120 ./problems/pcb442.tsp 69 500 55.25 4 1 0.9 0.1 7.313894124214936e-08
pcb442,221.0,52571,Improvement limit,42.71,21.9358,0.002291835714,3.53,./aco_2opt_wc 120 ./problems/pcb442.tsp 69 500 55.25 4 2 0.9 0.1 7.313894124214936e-08
pcb442,221.0,51737,Improvement limit,100.65,51.02709,0.002088788107,1.89,./aco_2opt_wc 120 ./problems/pcb442.tsp 69 500 55.25 4 3 0.9 0.1 7.313894124214936e-08
pcb442,221.0,51949,Time limit,120.4,60.98258,0.00202246936,2.31,./aco_2opt_wc 120 ./problems/pcb442.tsp 69 500 55.25 4 4 0.9 0.1 7.313894124214936e-08
pcb442,221.0,52548,Improvement limit,94.92,47.91431,0.002294618182,3.49,./aco_2opt_wc 120 ./problems/pcb442.tsp 69 500 55.25 3 3 0.99 0.1 7.313894124214936e-08
pcb442,221.0,52499,Improvement limit,58.52,29.73094,0.0023361634,3.39,./aco_2opt_wc 120 ./problems/pcb442.tsp 69 500 55.25 3 3 0.99 0.2 7.313894124214936e-08
pcb442,221.0,52304,Improvement limit,106.38,53.73299,0.002258379239,3.01,./aco_2opt_wc 120 ./problems/pcb442.tsp 69 500 55.25 3 3 0.99 0.3 7.313894124214936e-08
pcb442,221.0,52107,Time limit,120.73,60.9717,0.002259791081,2.62,./aco_2opt_wc 120 ./problems/pcb442.tsp 69 500 55.25 3 3 0.99 0.4 7.313894124214936e-08
pcb442,221.0,51878,Improvement limit,71.46,36.35509,0.002235360735,2.17,./aco_2opt_wc 120 ./problems/pcb442.tsp 69 500 55.25 3 3 0.95 0.1 7.313894124214936e-08
pcb442,221.0,52309,Improvement limit,58.11,29.56986,0.002256940732,3.02,./aco_2opt_wc 120 ./problems/pcb442.tsp 69 500 55.25 3 3 0.95 0.2 7.313894124214936e-08
pcb442,221.0,52109,Improvement limit,96.86,48.99636,0.002214610148,2.62,./aco_2opt_wc 120 ./problems/pcb442.tsp 69 500 55.25 3 3 0.95 0.3 7.313894124214936e-08
