name,points,path,signal,time,avg_run,avg_iiopt,score,call_str
pr439,219.5,109672,Time limit,120.23,62.09107,0.002372201941,2.29,./aco_2opt_wc 120 ./problems/pr439.tsp 69 500 219.5 4 2 0.99 0.1 3.3137732894265e-08
pr439,219.5,109672,Time limit,122.16,63.06103,0.002352422319,2.29,./aco_2opt_wc 120 ./problems/pr439.tsp 69 500 219.5 4 2 0.99 0.1 3.3137732894265e-08
pr439,219.5,109777,Time limit,120.67,61.77215,0.002352105014,2.39,./aco_2opt_wc 120 ./problems/pr439.tsp 69 500 164.625 4 2 0.99 0.1 3.3137732894265e-08
pr439,219.5,109643,Improvement limit,106.37,54.2145,0.002318959608,2.26,./aco_2opt_wc 120 ./problems/pr439.tsp 69 500 109.75 4 2 0.99 0.1 3.3137732894265e-08
pr439,219.5,109285,Improvement limit,103.81,52.5932,0.002213410386,1.93,./aco_2opt_wc 120 ./problems/pr439.tsp 69 500 54.875 4 2 0.99 0.1 3.3137732894265e-08
pr439,219.5,109368,Improvement limit,55.83,28.22884,0.002178080568,2.01,./aco_2opt_wc 120 ./problems/pr439.tsp 69 500 27.4375 4 2 0.99 0.1 3.3137732894265e-08
pr439,219.5,110532,Time limit,120.28,60.74486,0.002839801571,3.09,./aco_2opt_wc 120 ./problems/pr439.tsp 69 500 54.875 1 1 0.99 0.1 3.3137732894265e-08
pr439,219.5,110637,Improvement limit,49.58,25.23761,0.002686725926,3.19,./aco_2opt_wc 120 ./problems/pr439.tsp 69 500 54.875 1 2 0.99 0.1 3.3137732894265e-08
pr439,219.5,110123,Improvement limit,64.89,32.90565,0.002519545126,2.71,./aco_2opt_wc 120 ./problems/pr439.tsp 69 500 54.875 1 3 0.99 0.1 3.3137732894265e-08
pr439,219.5,110673,Improvement limit,74.61,37.71238,0.002419733407,3.22,./aco_2opt_wc 120 ./problems/pr439.tsp 69 500 54.875 1 4 0.99 0.1 3.3137732894265e-08
pr439,219.5,110053,Improvement limit,65.67,33.36182,0.002534873737,2.65,./aco_2opt_wc 120 ./problems/pr439.tsp 69 500 54.875 2 1 0.99 0.1 3.3137732894265e-08
pr439,219.5,109646,Improvement limit,104.81,52.93179,0.002387706573,2.27,./aco_2opt_wc 120 ./problems/pr439.tsp 69 500 54.875 2 2 0.99 0.1 3.3137732894265e-08
