name,points,path,signal,time,avg_run,avg_iiopt,score,call_str
u1060,530.0,241050,Time limit,158.05,119.35041,0.02259568585,7.57,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 530.0 2 3 0.9 0.1 6.098506244077588e-09
u1060,530.0,241050,Time limit,159.24,120.38356,0.02279106321,7.57,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 530.0 2 3 0.9 0.1 6.098506244077588e-09
u1060,530.0,239125,Time limit,176.64,118.42322,0.02170021914,6.71,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 397.5 2 3 0.9 0.1 6.098506244077588e-09
u1060,530.0,240283,Time limit,158.67,99.99154,0.02176671226,7.22,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 265.0 2 3 0.9 0.1 6.098506244077588e-09
u1060,530.0,239972,Time limit,136.78,78.95143,0.02095913636,7.09,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 132.5 2 3 0.9 0.1 6.098506244077588e-09
u1060,530.0,240479,Time limit,126.88,68.5153,0.02052700816,7.31,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 66.25 2 3 0.9 0.1 6.098506244077588e-09
u1060,530.0,240290,Time limit,127.92,98.21544,0.03091506675,7.23,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 397.5 1 1 0.9 0.1 6.098506244077588e-09
u1060,530.0,242240,Time limit,123.98,94.63187,0.02654563854,8.1,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 397.5 1 2 0.9 0.1 6.098506244077588e-09
u1060,530.0,241958,Time limit,120.15,90.91553,0.02330113476,7.97,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 397.5 1 3 0.9 0.1 6.098506244077588e-09
u1060,530.0,240351,Time limit,175.52,117.65994,0.02077463224,7.25,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 397.5 1 4 0.9 0.1 6.098506244077588e-09
u1060,530.0,242073,Time limit,127.79,98.26071,0.03038250756,8.02,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 397.5 2 1 0.9 0.1 6.098506244077588e-09
u1060,530.0,241896,Time limit,121.74,92.58049,0.0255984068,7.94,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 397.5 2 2 0.9 0.1 6.098506244077588e-09
u1060,530.0,239125,Time limit,177.05,118.97722,0.02187575315,6.71,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 397.5 2 3 0.9 0.1 6.098506244077588e-09
u1060,530.0,240469,Time limit,174.64,116.82156,0.02026967086,7.31,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 397.5 2 4 0.9 0.1 6.098506244077588e-09
u1060,530.0,241173,Time limit,127.07,97.72192,0.03016087531,7.62,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 397.5 3 1 0.9 0.1 6.098506244077588e-09
u1060,530.0,241256,Time limit,122.69,93.06879,0.02588282872,7.66,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 397.5 3 2 0.9 0.1 6.098506244077588e-09
u1060,530.0,239498,Time limit,177.79,119.16122,0.02189359698,6.87,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 397.5 3 3 0.9 0.1 6.098506244077588e-09
u1060,530.0,239061,Time limit,174.95,116.95731,0.02033783207,6.68,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 397.5 3 4 0.9 0.1 6.098506244077588e-09
u1060,530.0,239390,Time limit,127.03,97.75648,0.03000988035,6.83,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 397.5 4 1 0.9 0.1 6.098506244077588e-09
u1060,530.0,238994,Time limit,121.97,92.64747,0.02567740302,6.65,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 397.5 4 2 0.9 0.1 6.098506244077588e-09
u1060,530.0,240669,Time limit,176.04,118.56723,0.02144117548,7.4,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 397.5 4 3 0.9 0.1 6.098506244077588e-09
u1060,530.0,239394,Time limit,174.64,116.85425,0.02033279681,6.83,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 397.5 4 4 0.9 0.1 6.098506244077588e-09
u1060,530.0,239086,Time limit,175.4,117.63519,0.02031346012,6.69,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 397.5 3 4 0.99 0.1 6.098506244077588e-09
u1060,530.0,238859,Time limit,175.59,117.73176,0.02060240302,6.59,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 397.5 3 4 0.99 0.2 6.098506244077588e-09
u1060,530.0,239086,Time limit,173.84,116.40672,0.02015148027,6.69,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 397.5 3 4 0.99 0.3 6.098506244077588e-09
u1060,530.0,239086,Time limit,176.17,117.86309,0.0207265382,6.69,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 397.5 3 4 0.99 0.4 6.098506244077588e-09
u1060,530.0,238995,Time limit,176.64,118.41939,0.02070305793,6.65,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 397.5 3 4 0.95 0.1 6.098506244077588e-09
u1060,530.0,239086,Time limit,175.78,117.489,0.02057696138,6.69,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 397.5 3 4 0.95 0.2 6.098506244077588e-09
u1060,530.0,239662,Time limit,174.37,116.75437,0.02031228044,6.95,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 397.5 3 4 0.95 0.3 6.098506244077588e-09
u1060,530.0,239662,Time limit,174.94,117.11259,0.02042801763,6.95,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 397.5 3 4 0.95 0.4 6.098506244077588e-09
u1060,530.0,239061,Time limit,174.72,116.58195,0.02033617884,6.68,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 397.5 3 4 0.9 0.1 6.098506244077588e-09
u1060,530.0,239086,Time limit,175.45,117.64019,0.02053248363,6.69,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 397.5 3 4 0.9 0.2 6.098506244077588e-09
u1060,530.0,239662,Time limit,174.88,116.90276,0.02043432326,6.95,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 397.5 3 4 0.9 0.3 6.098506244077588e-09
u1060,530.0,239662,Time limit,175.77,117.43767,0.02057049538,6.95,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 397.5 3 4 0.9 0.4 6.098506244077588e-09
u1060,530.0,238951,Time limit,175.03,117.53814,0.02040157935,6.63,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 397.5 3 4 0.8 0.1 6.098506244077588e-09
u1060,530.0,239662,Time limit,175.5,117.59381,0.02047823594,6.95,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 397.5 3 4 0.8 0.2 6.098506244077588e-09
u1060,530.0,239662,Time limit,175.22,117.37863,0.02034524769,6.95,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 397.5 3 4 0.8 0.3 6.098506244077588e-09
u1060,530.0,239662,Time limit,173.66,116.24907,0.02016071117,6.95,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 397.5 3 4 0.8 0.4 6.098506244077588e-09
u1060,530.0,239691,Time limit,156.0,117.29884,0.02088713679,6.96,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 530.0 3 4 0.99 0.2 6.098506244077588e-09
u1060,530.0,238859,Time limit,174.73,117.07604,0.0204908984,6.59,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 397.5 3 4 0.99 0.2 6.098506244077588e-09
u1060,530.0,237416,Time limit,155.17,97.68553,0.02008521321,5.94,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 265.0 3 4 0.99 0.2 6.098506244077588e-09
u1060,530.0,239461,Time limit,135.13,77.55276,0.01969195996,6.86,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 132.5 3 4 0.99 0.2 6.098506244077588e-09
u1060,530.0,238440,Time limit,124.75,67.17004,0.01932015035,6.4,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 66.25 3 4 0.99 0.2 6.098506244077588e-09
u1060,530.0,244245,Time limit,123.99,84.53078,0.02785241258,8.99,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 265.0 1 1 0.99 0.2 6.098506244077588e-09
u1060,530.0,241831,Time limit,121.16,81.8572,0.02454098239,7.91,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 265.0 1 2 0.99 0.2 6.098506244077588e-09
u1060,530.0,241924,Time limit,158.29,99.21851,0.02194767453,7.96,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 265.0 1 3 0.99 0.2 6.098506244077588e-09
u1060,530.0,239731,Time limit,156.08,98.0916,0.02061122736,6.98,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 265.0 1 4 0.99 0.2 6.098506244077588e-09
u1060,530.0,241842,Time limit,126.77,86.79739,0.0282900327,7.92,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 265.0 2 1 0.99 0.2 6.098506244077588e-09
u1060,530.0,241048,Time limit,121.5,82.31773,0.02443781258,7.57,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 265.0 2 2 0.99 0.2 6.098506244077588e-09
u1060,530.0,239683,Time limit,155.65,98.18348,0.02099334245,6.96,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 265.0 2 3 0.99 0.2 6.098506244077588e-09
u1060,530.0,238601,Time limit,156.39,98.23247,0.02036849151,6.47,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 265.0 2 4 0.99 0.2 6.098506244077588e-09
u1060,530.0,241279,Time limit,124.73,85.22535,0.02731083899,7.67,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 265.0 3 1 0.99 0.2 6.098506244077588e-09
u1060,530.0,241832,Time limit,120.97,81.95378,0.02417279623,7.92,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 265.0 3 2 0.99 0.2 6.098506244077588e-09
u1060,530.0,238212,Time limit,157.05,99.05718,0.02136070283,6.3,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 265.0 3 3 0.99 0.2 6.098506244077588e-09
u1060,530.0,237416,Time limit,155.92,97.98631,0.0202907717,5.94,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 265.0 3 4 0.99 0.2 6.098506244077588e-09
u1060,530.0,240793,Time limit,126.19,86.58417,0.0274925434,7.45,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 265.0 4 1 0.99 0.2 6.098506244077588e-09
u1060,530.0,240010,Time limit,121.09,82.10381,0.02393616855,7.1,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 265.0 4 2 0.99 0.2 6.098506244077588e-09
u1060,530.0,237907,Time limit,156.49,98.4392,0.02104880094,6.16,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 265.0 4 3 0.99 0.2 6.098506244077588e-09
u1060,530.0,239829,Time limit,155.64,97.71888,0.0199989783,7.02,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 265.0 4 4 0.99 0.2 6.098506244077588e-09
u1060,530.0,237555,Time limit,155.74,97.63476,0.02013498113,6.01,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 265.0 3 4 0.99 0.1 6.098506244077588e-09
u1060,530.0,237416,Time limit,155.7,97.85595,0.02024484906,5.94,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 265.0 3 4 0.99 0.2 6.098506244077588e-09
u1060,530.0,240145,Time limit,157.29,98.70073,0.02067702358,7.16,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 265.0 3 4 0.99 0.3 6.098506244077588e-09
u1060,530.0,240145,Time limit,155.13,97.55021,0.01987783774,7.16,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 265.0 3 4 0.99 0.4 6.098506244077588e-09
u1060,530.0,238867,Time limit,155.92,98.09943,0.0200409434,6.59,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 265.0 3 4 0.95 0.1 6.098506244077588e-09
u1060,530.0,239491,Time limit,157.0,98.7309,0.0206002434,6.87,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 265.0 3 4 0.95 0.2 6.098506244077588e-09
u1060,530.0,239100,Time limit,155.75,97.57287,0.02008361698,6.7,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 265.0 3 4 0.95 0.3 6.098506244077588e-09
u1060,530.0,239100,Time limit,154.9,97.10619,0.01999750472,6.7,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 265.0 3 4 0.95 0.4 6.098506244077588e-09
u1060,530.0,238080,Time limit,156.64,98.18796,0.0200570217,6.24,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 265.0 3 4 0.9 0.1 6.098506244077588e-09
u1060,530.0,238544,Time limit,155.1,97.52081,0.01985209623,6.45,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 265.0 3 4 0.9 0.2 6.098506244077588e-09
u1060,530.0,240177,Time limit,157.61,99.05171,0.02080899906,7.18,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 265.0 3 4 0.9 0.3 6.098506244077588e-09
u1060,530.0,240177,Time limit,154.37,96.98012,0.01986263396,7.18,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 265.0 3 4 0.9 0.4 6.098506244077588e-09
u1060,530.0,239142,Time limit,154.77,97.28488,0.01986299717,6.72,./aco_2opt_wc 120 ./problems/u1060.tsp 69 500 265.0 3 4 0.8 0.1 6.098506244077588e-09
