name,points,path,signal,time,avg_run,avg_iiopt,score,call_str
ch130,130,6176,Improvement limit,15.14,7.6649,0.0002157059295,1.08,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 130 2 3 0.99 0.9076923076923077 1.0150841504760744e-06
ch130,130,6176,Improvement limit,15.6,7.95443,0.0002227116987,1.08,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 130 2 3 0.99 0.9076923076923077 1.0150841504760744e-06
ch130,130,6176,Improvement limit,14.23,7.22931,0.0002395751834,1.08,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 97.5 2 3 0.99 0.9076923076923077 1.0150841504760744e-06
ch130,130,6188,Improvement limit,7.18,3.60556,0.0002383759036,1.28,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 65.0 2 3 0.99 0.9076923076923077 1.0150841504760744e-06
ch130,130,6218,Improvement limit,2.29,1.18224,0.0002496627358,1.77,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 32.5 2 3 0.99 0.9076923076923077 1.0150841504760744e-06
ch130,130,6210,Improvement limit,2.09,1.06474,0.0002345,1.64,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 16.25 2 3 0.99 0.9076923076923077 1.0150841504760744e-06
ch130,130,6236,Improvement limit,13.82,7.01411,0.0004787012443,2.06,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 130 0.1 1 0.99 0.9076923076923077 1.0150841504760744e-06
ch130,130,6176,Improvement limit,15.88,8.03438,0.0002275841346,1.08,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 130 2 3 0.99 0.9076923076923077 1.0150841504760744e-06
ch130,130,6176,Improvement limit,13.75,7.14582,0.0002300091948,1.08,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 97.5 2 3 0.99 0.9076923076923077 1.0150841504760744e-06
ch130,130,6188,Improvement limit,6.61,3.36791,0.0002183584801,1.28,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 65.0 2 3 0.99 0.9076923076923077 1.0150841504760744e-06
ch130,130,6218,Improvement limit,2.04,1.05659,0.0002216049528,1.77,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 32.5 2 3 0.99 0.9076923076923077 1.0150841504760744e-06
ch130,130,6210,Improvement limit,1.9,0.96411,0.0002132759901,1.64,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 16.25 2 3 0.99 0.9076923076923077 1.0150841504760744e-06
ch130,130,6236,Improvement limit,13.15,6.5648,0.0004573255656,2.06,./aco_2opt_wc 120 ./problems/ch130.tsp 69 500 130 0.1 1 0.99 0.9076923076923077 1.0150841504760744e-06
