name,points,path,signal,time,avg_run,avg_iiopt,score,call_str
d198,198,15917,Improvement limit,63.76,32.28613,0.0006597210999,0.87,./aco_2opt_wc 120 ./problems/d198.tsp 69 500 198 2 3 0.9 0.9393939393939394 2.661662740714124e-07
d198,198,15917,Improvement limit,60.31,30.68536,0.0006247776655,0.87,./aco_2opt_wc 120 ./problems/d198.tsp 69 500 198 2 3 0.9 0.9393939393939394 2.661662740714124e-07
d198,198,15906,Improvement limit,72.29,35.98509,0.0006508907658,0.8,./aco_2opt_wc 120 ./problems/d198.tsp 69 500 148.5 2 3 0.9 0.9393939393939394 2.661662740714124e-07
d198,198,15942,Improvement limit,26.46,13.40116,0.00064,1.03,./aco_2opt_wc 120 ./problems/d198.tsp 69 500 99.0 2 3 0.9 0.9393939393939394 2.661662740714124e-07
d198,198,15948,Improvement limit,19.99,10.09754,0.0006336829817,1.06,./aco_2opt_wc 120 ./problems/d198.tsp 69 500 49.5 2 3 0.9 0.9393939393939394 2.661662740714124e-07
d198,198,15960,Improvement limit,5.98,3.03602,0.0006355399306,1.14,./aco_2opt_wc 120 ./problems/d198.tsp 69 500 24.75 2 3 0.9 0.9393939393939394 2.661662740714124e-07
d198,198,16002,Improvement limit,76.15,38.57933,0.001061248138,1.41,./aco_2opt_wc 120 ./problems/d198.tsp 69 500 148.5 0.1 1 0.9 0.9393939393939394 2.661662740714124e-07
d198,198,15917,Improvement limit,64.52,32.35952,0.0006708704826,0.87,./aco_2opt_wc 120 ./problems/d198.tsp 69 500 198 2 3 0.9 0.9393939393939394 2.661662740714124e-07
d198,198,15906,Improvement limit,72.31,36.72455,0.000653859577,0.8,./aco_2opt_wc 120 ./problems/d198.tsp 69 500 148.5 2 3 0.9 0.9393939393939394 2.661662740714124e-07
d198,198,15942,Improvement limit,27.67,14.16452,0.0006760595566,1.03,./aco_2opt_wc 120 ./problems/d198.tsp 69 500 99.0 2 3 0.9 0.9393939393939394 2.661662740714124e-07
d198,198,15948,Improvement limit,20.42,10.29856,0.0006498230716,1.06,./aco_2opt_wc 120 ./problems/d198.tsp 69 500 49.5 2 3 0.9 0.9393939393939394 2.661662740714124e-07
d198,198,15960,Improvement limit,6.01,3.08864,0.0006404166667,1.14,./aco_2opt_wc 120 ./problems/d198.tsp 69 500 24.75 2 3 0.9 0.9393939393939394 2.661662740714124e-07
d198,198,16002,Improvement limit,74.97,38.18003,0.00104597675,1.41,./aco_2opt_wc 120 ./problems/d198.tsp 69 500 148.5 0.1 1 0.9 0.9393939393939394 2.661662740714124e-07
