name,points,path,signal,time,avg_run,avg_iiopt,score,call_str
eil76,76,538,Improvement limit,1.48,0.78376,3.415722569e-05,0.0,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 4 1 0.8 0.8421052631578947 1.934984520123839e-05
eil76,76,538,Improvement limit,1.4,0.73621,3.15205174e-05,0.0,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 4 1 0.8 0.8421052631578947 1.934984520123839e-05
eil76,76,539,Improvement limit,1.45,0.75139,4.652563226e-05,0.19,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 57.0 4 1 0.8 0.8421052631578947 1.934984520123839e-05
eil76,76,541,Improvement limit,0.72,0.37148,4.96232687e-05,0.56,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 38.0 4 1 0.8 0.8421052631578947 1.934984520123839e-05
eil76,76,538,Improvement limit,0.38,0.19815,3.926061121e-05,0.0,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 19.0 4 1 0.8 0.8421052631578947 1.934984520123839e-05
eil76,76,543,Improvement limit,0.33,0.1652,7.806321839e-05,0.93,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 9.5 4 1 0.8 0.8421052631578947 1.934984520123839e-05
eil76,76,549,Improvement limit,2.48,1.25958,0.0001248972039,2.04,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 0.1 1 0.8 0.8421052631578947 1.934984520123839e-05
eil76,76,538,Improvement limit,1.43,0.75575,3.268465656e-05,0.0,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 4 1 0.8 0.8421052631578947 1.934984520123839e-05
eil76,76,539,Improvement limit,1.49,0.7661,4.749897471e-05,0.19,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 57.0 4 1 0.8 0.8421052631578947 1.934984520123839e-05
eil76,76,541,Improvement limit,0.74,0.38005,5.055771006e-05,0.56,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 38.0 4 1 0.8 0.8421052631578947 1.934984520123839e-05
eil76,76,538,Improvement limit,0.44,0.23777,4.615110357e-05,0.0,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 19.0 4 1 0.8 0.8421052631578947 1.934984520123839e-05
eil76,76,543,Improvement limit,0.18,0.09034,4.247318008e-05,0.93,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 9.5 4 1 0.8 0.8421052631578947 1.934984520123839e-05
eil76,76,549,Improvement limit,2.55,1.30383,0.0001273958882,2.04,./aco_2opt_wc 120 ./problems/eil76.tsp 69 500 76 0.1 1 0.8 0.8421052631578947 1.934984520123839e-05
