name,points,path,signal,time,avg_run,avg_iiopt,score,call_str
kroA100,100,21282,Improvement limit,4.44,2.27813,0.0001212632836,0.0,./aco_2opt_wc 120 ./problems/kroA100.tsp 69 500 100 2 3 0.9 0.88 3.5962167799474955e-07
kroA100,100,21282,Improvement limit,4.42,2.26614,0.0001203425373,0.0,./aco_2opt_wc 120 ./problems/kroA100.tsp 69 500 100 2 3 0.9 0.88 3.5962167799474955e-07
kroA100,100,21282,Improvement limit,3.24,1.67058,0.000116890101,0.0,./aco_2opt_wc 120 ./problems/kroA100.tsp 69 500 75.0 2 3 0.9 0.88 3.5962167799474955e-07
kroA100,100,21282,Improvement limit,2.45,1.27116,9.570103896e-05,0.0,./aco_2opt_wc 120 ./problems/kroA100.tsp 69 500 50.0 2 3 0.9 0.88 3.5962167799474955e-07
kroA100,100,21292,Improvement limit,0.9,0.45991,0.0001191703704,0.05,./aco_2opt_wc 120 ./problems/kroA100.tsp 69 500 25.0 2 3 0.9 0.88 3.5962167799474955e-07
kroA100,100,21282,Improvement limit,0.54,0.2796,0.0001100547619,0.0,./aco_2opt_wc 120 ./problems/kroA100.tsp 69 500 12.5 2 3 0.9 0.88 3.5962167799474955e-07
kroA100,100,21296,Improvement limit,7.54,3.83831,0.0002489645833,0.07,./aco_2opt_wc 120 ./problems/kroA100.tsp 69 500 100 0.1 1 0.9 0.88 3.5962167799474955e-07
kroA100,100,21282,Improvement limit,4.48,2.29412,0.0001209873134,0.0,./aco_2opt_wc 120 ./problems/kroA100.tsp 69 500 100 2 3 0.9 0.88 3.5962167799474955e-07
kroA100,100,21282,Improvement limit,3.23,1.6694,0.0001154733333,0.0,./aco_2opt_wc 120 ./problems/kroA100.tsp 69 500 75.0 2 3 0.9 0.88 3.5962167799474955e-07
kroA100,100,21282,Improvement limit,2.62,1.38081,0.0001041893506,0.0,./aco_2opt_wc 120 ./problems/kroA100.tsp 69 500 50.0 2 3 0.9 0.88 3.5962167799474955e-07
kroA100,100,21292,Improvement limit,1.0,0.56149,0.0001355940741,0.05,./aco_2opt_wc 120 ./problems/kroA100.tsp 69 500 25.0 2 3 0.9 0.88 3.5962167799474955e-07
kroA100,100,21282,Improvement limit,0.53,0.26953,0.0001053690476,0.0,./aco_2opt_wc 120 ./problems/kroA100.tsp 69 500 12.5 2 3 0.9 0.88 3.5962167799474955e-07
kroA100,100,21296,Improvement limit,7.28,3.69124,0.000240739375,0.07,./aco_2opt_wc 120 ./problems/kroA100.tsp 69 500 100 0.1 1 0.9 0.88 3.5962167799474955e-07
