name,points,path,signal,time,avg_run,avg_iiopt,score,call_str
lin318,318,42878,Time limit,120.67,62.41167,0.001823625076,2.02,./aco_2opt_wc 120 ./problems/lin318.tsp 69 500 318 3 2 0.99 0.9622641509433962 5.821385231215525e-08
lin318,318,42878,Time limit,122.88,63.72425,0.001722336002,2.02,./aco_2opt_wc 120 ./problems/lin318.tsp 69 500 318 3 2 0.99 0.9622641509433962 5.821385231215525e-08
lin318,318,42776,Time limit,121.98,63.10161,0.001733039574,1.78,./aco_2opt_wc 120 ./problems/lin318.tsp 69 500 238.5 3 2 0.99 0.9622641509433962 5.821385231215525e-08
lin318,318,42987,Time limit,121.38,61.33845,0.001696642477,2.28,./aco_2opt_wc 120 ./problems/lin318.tsp 69 500 159.0 3 2 0.99 0.9622641509433962 5.821385231215525e-08
lin318,318,42961,Improvement limit,53.79,28.20152,0.001645986076,2.22,./aco_2opt_wc 120 ./problems/lin318.tsp 69 500 79.5 3 2 0.99 0.9622641509433962 5.821385231215525e-08
lin318,318,42992,Improvement limit,49.36,24.98058,0.001606061179,2.29,./aco_2opt_wc 120 ./problems/lin318.tsp 69 500 39.75 3 2 0.99 0.9622641509433962 5.821385231215525e-08
lin318,318,44029,Time limit,122.73,62.89788,0.003426278219,4.76,./aco_2opt_wc 120 ./problems/lin318.tsp 69 500 238.5 0.1 1 0.99 0.9622641509433962 5.821385231215525e-08
lin318,318,42878,Time limit,121.3,62.89376,0.001757269851,2.02,./aco_2opt_wc 120 ./problems/lin318.tsp 69 500 318 3 2 0.99 0.9622641509433962 5.821385231215525e-08
lin318,318,42776,Time limit,122.15,62.84943,0.001731259527,1.78,./aco_2opt_wc 120 ./problems/lin318.tsp 69 500 238.5 3 2 0.99 0.9622641509433962 5.821385231215525e-08
lin318,318,42987,Time limit,121.67,60.67445,0.001758787461,2.28,./aco_2opt_wc 120 ./problems/lin318.tsp 69 500 159.0 3 2 0.99 0.9622641509433962 5.821385231215525e-08
lin318,318,42961,Improvement limit,57.82,29.5137,0.00178662827,2.22,./aco_2opt_wc 120 ./problems/lin318.tsp 69 500 79.5 3 2 0.99 0.9622641509433962 5.821385231215525e-08
lin318,318,42992,Improvement limit,55.7,28.09808,0.001822465587,2.29,./aco_2opt_wc 120 ./problems/lin318.tsp 69 500 39.75 3 2 0.99 0.9622641509433962 5.821385231215525e-08
lin318,318,44029,Time limit,122.26,63.18155,0.003403977402,4.76,./aco_2opt_wc 120 ./problems/lin318.tsp 69 500 238.5 0.1 1 0.99 0.9622641509433962 5.821385231215525e-08
