name,points,path,signal,time,avg_run,avg_iiopt,score,call_str
pr439,219.5,109527,Time limit,123.33,65.60914,0.003779597489,2.15,./aco_2opt_wc 120 ./problems/pr439.tsp 69 500 219.5 4 2 0.99 0.9453302961275627 3.3137732894265e-08
pr439,219.5,109527,Time limit,120.44,63.39253,0.003684747945,2.15,./aco_2opt_wc 120 ./problems/pr439.tsp 69 500 219.5 4 2 0.99 0.9453302961275627 3.3137732894265e-08
pr439,219.5,109932,Time limit,120.54,62.54409,0.003755413462,2.53,./aco_2opt_wc 120 ./problems/pr439.tsp 69 500 164.625 4 2 0.99 0.9453302961275627 3.3137732894265e-08
pr439,219.5,109847,Time limit,122.43,63.48514,0.003601989483,2.45,./aco_2opt_wc 120 ./problems/pr439.tsp 69 500 109.75 4 2 0.99 0.9453302961275627 3.3137732894265e-08
pr439,219.5,109532,Time limit,121.11,61.09766,0.003618211477,2.16,./aco_2opt_wc 120 ./problems/pr439.tsp 69 500 54.875 4 2 0.99 0.9453302961275627 3.3137732894265e-08
pr439,219.5,109181,Improvement limit,114.51,57.78978,0.003505978871,1.83,./aco_2opt_wc 120 ./problems/pr439.tsp 69 500 27.4375 4 2 0.99 0.9453302961275627 3.3137732894265e-08
pr439,219.5,112996,Improvement limit,76.31,38.43028,0.007647331548,5.39,./aco_2opt_wc 120 ./problems/pr439.tsp 69 500 27.4375 0.1 1 0.99 0.9453302961275627 3.3137732894265e-08
pr439,219.5,109527,Time limit,121.69,64.79739,0.003941892334,2.15,./aco_2opt_wc 120 ./problems/pr439.tsp 69 500 219.5 4 2 0.99 0.9453302961275627 3.3137732894265e-08
pr439,219.5,109932,Time limit,122.08,64.16386,0.0038244803,2.53,./aco_2opt_wc 120 ./problems/pr439.tsp 69 500 164.625 4 2 0.99 0.9453302961275627 3.3137732894265e-08
pr439,219.5,109847,Time limit,122.23,62.68843,0.003938226219,2.45,./aco_2opt_wc 120 ./problems/pr439.tsp 69 500 109.75 4 2 0.99 0.9453302961275627 3.3137732894265e-08
pr439,219.5,109532,Time limit,120.56,60.81599,0.003743349003,2.16,./aco_2opt_wc 120 ./problems/pr439.tsp 69 500 54.875 4 2 0.99 0.9453302961275627 3.3137732894265e-08
pr439,219.5,109181,Improvement limit,113.24,57.49974,0.003474144171,1.83,./aco_2opt_wc 120 ./problems/pr439.tsp 69 500 27.4375 4 2 0.99 0.9453302961275627 3.3137732894265e-08
pr439,219.5,112996,Improvement limit,76.12,39.10141,0.007344041946,5.39,./aco_2opt_wc 120 ./problems/pr439.tsp 69 500 27.4375 0.1 1 0.99 0.9453302961275627 3.3137732894265e-08
