,max_runtime,seed,itterations,ants,alpha,beta,rho,Q,tau0,exit_status,path
0,120,69,500,10.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",6397
1,120,69,500,23.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",6611
2,120,69,500,37.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",6554
3,120,69,500,50.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",6378
4,120,69,500,63.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",6518
5,120,69,500,77.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",6544
6,120,69,500,90.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",6442
7,120,69,500,103.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",6474
8,120,69,500,117.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",6478
9,120,69,500,130.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",6533
10,120,69,500,30.0,0.5,0.5,0.99,0.2,0.0001,"Improvement limit
",27071
11,120,69,500,30.0,0.5,1.0,0.99,0.2,0.0001,"Improvement limit
",17121
12,120,69,500,30.0,0.5,1.5,0.99,0.2,0.0001,"Improvement limit
",12518
13,120,69,500,30.0,0.5,2.0,0.99,0.2,0.0001,"Improvement limit
",9505
14,120,69,500,30.0,0.5,2.5,0.99,0.2,0.0001,"Improvement limit
",8897
15,120,69,500,30.0,0.5,3.0,0.99,0.2,0.0001,"Improvement limit
",7965
16,120,69,500,30.0,0.5,3.5,0.99,0.2,0.0001,"Improvement limit
",7450
17,120,69,500,30.0,0.5,4.0,0.99,0.2,0.0001,"Improvement limit
",7368
18,120,69,500,30.0,1.0,0.5,0.99,0.2,0.0001,"Improvement limit
",11439
19,120,69,500,30.0,1.0,1.0,0.99,0.2,0.0001,"Improvement limit
",8473
20,120,69,500,30.0,1.0,1.5,0.99,0.2,0.0001,"Improvement limit
",7937
21,120,69,500,30.0,1.0,2.0,0.99,0.2,0.0001,"Improvement limit
",7295
22,120,69,500,30.0,1.0,2.5,0.99,0.2,0.0001,"Improvement limit
",7042
23,120,69,500,30.0,1.0,3.0,0.99,0.2,0.0001,"Improvement limit
",6857
24,120,69,500,30.0,1.0,3.5,0.99,0.2,0.0001,"Improvement limit
",6736
25,120,69,500,30.0,1.0,4.0,0.99,0.2,0.0001,"Improvement limit
",6942
26,120,69,500,30.0,1.5,0.5,0.99,0.2,0.0001,"Improvement limit
",7299
27,120,69,500,30.0,1.5,1.0,0.99,0.2,0.0001,"Improvement limit
",6773
28,120,69,500,30.0,1.5,1.5,0.99,0.2,0.0001,"Improvement limit
",6718
29,120,69,500,30.0,1.5,2.0,0.99,0.2,0.0001,"Improvement limit
",6775
30,120,69,500,30.0,1.5,2.5,0.99,0.2,0.0001,"Improvement limit
",6477
31,120,69,500,30.0,1.5,3.0,0.99,0.2,0.0001,"Improvement limit
",6532
32,120,69,500,30.0,1.5,3.5,0.99,0.2,0.0001,"Improvement limit
",6673
33,120,69,500,30.0,1.5,4.0,0.99,0.2,0.0001,"Improvement limit
",6662
34,120,69,500,30.0,2.0,0.5,0.99,0.2,0.0001,"Improvement limit
",8018
35,120,69,500,30.0,2.0,1.0,0.99,0.2,0.0001,"Improvement limit
",7342
36,120,69,500,30.0,2.0,1.5,0.99,0.2,0.0001,"Improvement limit
",6910
37,120,69,500,30.0,2.0,2.0,0.99,0.2,0.0001,"Improvement limit
",6568
38,120,69,500,30.0,2.0,2.5,0.99,0.2,0.0001,"Improvement limit
",6574
39,120,69,500,30.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",6762
40,120,69,500,30.0,2.0,3.5,0.99,0.2,0.0001,"Improvement limit
",6660
41,120,69,500,30.0,2.0,4.0,0.99,0.2,0.0001,"Improvement limit
",6639
42,120,69,500,30.0,2.5,0.5,0.99,0.2,0.0001,"Improvement limit
",8242
43,120,69,500,30.0,2.5,1.0,0.99,0.2,0.0001,"Improvement limit
",7592
44,120,69,500,30.0,2.5,1.5,0.99,0.2,0.0001,"Improvement limit
",6825
45,120,69,500,30.0,2.5,2.0,0.99,0.2,0.0001,"Improvement limit
",6908
46,120,69,500,30.0,2.5,2.5,0.99,0.2,0.0001,"Improvement limit
",6524
47,120,69,500,30.0,2.5,3.0,0.99,0.2,0.0001,"Improvement limit
",6851
48,120,69,500,30.0,2.5,3.5,0.99,0.2,0.0001,"Improvement limit
",6998
49,120,69,500,30.0,2.5,4.0,0.99,0.2,0.0001,"Improvement limit
",6760
50,120,69,500,30.0,3.0,0.5,0.99,0.2,0.0001,"Improvement limit
",9500
51,120,69,500,30.0,3.0,1.0,0.99,0.2,0.0001,"Improvement limit
",7559
52,120,69,500,30.0,3.0,1.5,0.99,0.2,0.0001,"Improvement limit
",6967
53,120,69,500,30.0,3.0,2.0,0.99,0.2,0.0001,"Improvement limit
",6998
54,120,69,500,30.0,3.0,2.5,0.99,0.2,0.0001,"Improvement limit
",6809
55,120,69,500,30.0,3.0,3.0,0.99,0.2,0.0001,"Improvement limit
",6937
56,120,69,500,30.0,3.0,3.5,0.99,0.2,0.0001,"Improvement limit
",7073
57,120,69,500,30.0,3.0,4.0,0.99,0.2,0.0001,"Improvement limit
",6844
58,120,69,500,30.0,3.5,0.5,0.99,0.2,0.0001,"Improvement limit
",8707
59,120,69,500,30.0,3.5,1.0,0.99,0.2,0.0001,"Improvement limit
",7897
60,120,69,500,30.0,3.5,1.5,0.99,0.2,0.0001,"Improvement limit
",7313
61,120,69,500,30.0,3.5,2.0,0.99,0.2,0.0001,"Improvement limit
",6868
62,120,69,500,30.0,3.5,2.5,0.99,0.2,0.0001,"Improvement limit
",6721
63,120,69,500,30.0,3.5,3.0,0.99,0.2,0.0001,"Improvement limit
",7296
64,120,69,500,30.0,3.5,3.5,0.99,0.2,0.0001,"Improvement limit
",7195
65,120,69,500,30.0,3.5,4.0,0.99,0.2,0.0001,"Improvement limit
",7052
66,120,69,500,30.0,4.0,0.5,0.99,0.2,0.0001,"Improvement limit
",9509
67,120,69,500,30.0,4.0,1.0,0.99,0.2,0.0001,"Improvement limit
",8092
68,120,69,500,30.0,4.0,1.5,0.99,0.2,0.0001,"Improvement limit
",7411
69,120,69,500,30.0,4.0,2.0,0.99,0.2,0.0001,"Improvement limit
",6923
70,120,69,500,30.0,4.0,2.5,0.99,0.2,0.0001,"Improvement limit
",7132
71,120,69,500,30.0,4.0,3.0,0.99,0.2,0.0001,"Improvement limit
",6781
72,120,69,500,30.0,4.0,3.5,0.99,0.2,0.0001,"Improvement limit
",6965
73,120,69,500,30.0,4.0,4.0,0.99,0.2,0.0001,"Improvement limit
",6816
74,120,69,500,30.0,2.0,3.0,0.6400000000000001,0.2,0.0001,"Improvement limit
",7057
75,120,69,500,30.0,2.0,3.0,0.6725210478254342,0.2,0.0001,"Improvement limit
",6981
76,120,69,500,30.0,2.0,3.0,0.7066946246378438,0.2,0.0001,"Improvement limit
",6851
77,120,69,500,30.0,2.0,3.0,0.7426047022719447,0.2,0.0001,"Improvement limit
",6705
