,max_runtime,seed,itterations,ants,alpha,beta,rho,Q,tau0,exit_status,path
0,120,69,500,10.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",17718
1,120,69,500,30.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",17443
2,120,69,500,50.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",17523
3,120,69,500,70.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",17992
4,120,69,500,90.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",17296
5,120,69,500,110.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",17333
6,120,69,500,130.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",17506
7,120,69,500,150.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",17505
8,120,69,500,170.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",17185
9,120,69,500,190.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",17555
10,120,69,500,30.0,0.5,0.5,0.99,0.2,0.0001,"Improvement limit
",89845
11,120,69,500,30.0,0.5,1.0,0.99,0.2,0.0001,"Improvement limit
",37833
12,120,69,500,30.0,0.5,1.5,0.99,0.2,0.0001,"Improvement limit
",29645
13,120,69,500,30.0,0.5,2.0,0.99,0.2,0.0001,"Improvement limit
",23895
14,120,69,500,30.0,0.5,2.5,0.99,0.2,0.0001,"Improvement limit
",21104
15,120,69,500,30.0,0.5,3.0,0.99,0.2,0.0001,"Improvement limit
",19801
16,120,69,500,30.0,0.5,3.5,0.99,0.2,0.0001,"Improvement limit
",19670
17,120,69,500,30.0,0.5,4.0,0.99,0.2,0.0001,"Improvement limit
",19190
18,120,69,500,30.0,1.0,0.5,0.99,0.2,0.0001,"Improvement limit
",35070
19,120,69,500,30.0,1.0,1.0,0.99,0.2,0.0001,"Improvement limit
",23722
20,120,69,500,30.0,1.0,1.5,0.99,0.2,0.0001,"Improvement limit
",20299
21,120,69,500,30.0,1.0,2.0,0.99,0.2,0.0001,"Improvement limit
",20820
22,120,69,500,30.0,1.0,2.5,0.99,0.2,0.0001,"Improvement limit
",18335
23,120,69,500,30.0,1.0,3.0,0.99,0.2,0.0001,"Improvement limit
",18400
24,120,69,500,30.0,1.0,3.5,0.99,0.2,0.0001,"Improvement limit
",17756
25,120,69,500,30.0,1.0,4.0,0.99,0.2,0.0001,"Improvement limit
",18147
26,120,69,500,30.0,1.5,0.5,0.99,0.2,0.0001,"Improvement limit
",18733
27,120,69,500,30.0,1.5,1.0,0.99,0.2,0.0001,"Improvement limit
",18280
28,120,69,500,30.0,1.5,1.5,0.99,0.2,0.0001,"Improvement limit
",18185
29,120,69,500,30.0,1.5,2.0,0.99,0.2,0.0001,"Improvement limit
",18183
30,120,69,500,30.0,1.5,2.5,0.99,0.2,0.0001,"Improvement limit
",17811
31,120,69,500,30.0,1.5,3.0,0.99,0.2,0.0001,"Improvement limit
",17557
32,120,69,500,30.0,1.5,3.5,0.99,0.2,0.0001,"Improvement limit
",17401
33,120,69,500,30.0,1.5,4.0,0.99,0.2,0.0001,"Improvement limit
",17824
34,120,69,500,30.0,2.0,0.5,0.99,0.2,0.0001,"Improvement limit
",18857
35,120,69,500,30.0,2.0,1.0,0.99,0.2,0.0001,"Improvement limit
",17820
36,120,69,500,30.0,2.0,1.5,0.99,0.2,0.0001,"Improvement limit
",18498
37,120,69,500,30.0,2.0,2.0,0.99,0.2,0.0001,"Improvement limit
",18119
38,120,69,500,30.0,2.0,2.5,0.99,0.2,0.0001,"Improvement limit
",17600
39,120,69,500,30.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",17443
40,120,69,500,30.0,2.0,3.5,0.99,0.2,0.0001,"Improvement limit
",17594
41,120,69,500,30.0,2.0,4.0,0.99,0.2,0.0001,"Improvement limit
",18015
42,120,69,500,30.0,2.5,0.5,0.99,0.2,0.0001,"Improvement limit
",18677
43,120,69,500,30.0,2.5,1.0,0.99,0.2,0.0001,"Improvement limit
",18565
44,120,69,500,30.0,2.5,1.5,0.99,0.2,0.0001,"Improvement limit
",18029
45,120,69,500,30.0,2.5,2.0,0.99,0.2,0.0001,"Improvement limit
",17788
46,120,69,500,30.0,2.5,2.5,0.99,0.2,0.0001,"Improvement limit
",18131
47,120,69,500,30.0,2.5,3.0,0.99,0.2,0.0001,"Improvement limit
",17797
48,120,69,500,30.0,2.5,3.5,0.99,0.2,0.0001,"Improvement limit
",17851
49,120,69,500,30.0,2.5,4.0,0.99,0.2,0.0001,"Improvement limit
",18019
50,120,69,500,30.0,3.0,0.5,0.99,0.2,0.0001,"Improvement limit
",20754
51,120,69,500,30.0,3.0,1.0,0.99,0.2,0.0001,"Improvement limit
",18751
52,120,69,500,30.0,3.0,1.5,0.99,0.2,0.0001,"Improvement limit
",18851
53,120,69,500,30.0,3.0,2.0,0.99,0.2,0.0001,"Improvement limit
",17547
54,120,69,500,30.0,3.0,2.5,0.99,0.2,0.0001,"Improvement limit
",17516
55,120,69,500,30.0,3.0,3.0,0.99,0.2,0.0001,"Improvement limit
",17847
56,120,69,500,30.0,3.0,3.5,0.99,0.2,0.0001,"Improvement limit
",17749
57,120,69,500,30.0,3.0,4.0,0.99,0.2,0.0001,"Improvement limit
",18065
58,120,69,500,30.0,3.5,0.5,0.99,0.2,0.0001,"Improvement limit
",20306
59,120,69,500,30.0,3.5,1.0,0.99,0.2,0.0001,"Improvement limit
",19488
60,120,69,500,30.0,3.5,1.5,0.99,0.2,0.0001,"Improvement limit
",18804
61,120,69,500,30.0,3.5,2.0,0.99,0.2,0.0001,"Improvement limit
",18447
62,120,69,500,30.0,3.5,2.5,0.99,0.2,0.0001,"Improvement limit
",17938
63,120,69,500,30.0,3.5,3.0,0.99,0.2,0.0001,"Improvement limit
",17927
64,120,69,500,30.0,3.5,3.5,0.99,0.2,0.0001,"Improvement limit
",18236
65,120,69,500,30.0,3.5,4.0,0.99,0.2,0.0001,"Improvement limit
",17539
66,120,69,500,30.0,4.0,0.5,0.99,0.2,0.0001,"Improvement limit
",21816
67,120,69,500,30.0,4.0,1.0,0.99,0.2,0.0001,"Improvement limit
",19922
68,120,69,500,30.0,4.0,1.5,0.99,0.2,0.0001,"Improvement limit
",18951
69,120,69,500,30.0,4.0,2.0,0.99,0.2,0.0001,"Improvement limit
",18730
70,120,69,500,30.0,4.0,2.5,0.99,0.2,0.0001,"Improvement limit
",18550
71,120,69,500,30.0,4.0,3.0,0.99,0.2,0.0001,"Improvement limit
",18267
72,120,69,500,30.0,4.0,3.5,0.99,0.2,0.0001,"Improvement limit
",18550
73,120,69,500,30.0,4.0,4.0,0.99,0.2,0.0001,"Improvement limit
",18248
74,120,69,500,30.0,2.0,3.0,0.6400000000000001,0.2,0.0001,"Improvement limit
",18293
75,120,69,500,30.0,2.0,3.0,0.6725210478254342,0.2,0.0001,"Improvement limit
",18227
76,120,69,500,30.0,2.0,3.0,0.7066946246378438,0.2,0.0001,"Improvement limit
",18156
77,120,69,500,30.0,2.0,3.0,0.7426047022719447,0.2,0.0001,"Improvement limit
",18306
78,120,69,500,30.0,2.0,3.0,0.7803395195187859,0.2,0.0001,"Improvement limit
",18100
79,120,69,500,30.0,2.0,3.0,0.8199917989474527,0.2,0.0001,"Improvement limit
",18048
80,120,69,500,30.0,2.0,3.0,0.8616589747443807,0.2,0.0001,"Improvement limit
",17564
