,max_runtime,seed,itterations,ants,alpha,beta,rho,Q,tau0,exit_status,path
0,120,69,500,10.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",579
1,120,69,500,17.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",590
2,120,69,500,23.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",579
3,120,69,500,30.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",569
4,120,69,500,37.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",591
5,120,69,500,43.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",563
6,120,69,500,50.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",566
7,120,69,500,57.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",558
8,120,69,500,63.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",571
9,120,69,500,70.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",555
10,120,69,500,30.0,0.5,0.5,0.99,0.2,0.0001,"Improvement limit
",1654
11,120,69,500,30.0,0.5,1.0,0.99,0.2,0.0001,"Improvement limit
",1157
12,120,69,500,30.0,0.5,1.5,0.99,0.2,0.0001,"Improvement limit
",918
13,120,69,500,30.0,0.5,2.0,0.99,0.2,0.0001,"Improvement limit
",755
14,120,69,500,30.0,0.5,2.5,0.99,0.2,0.0001,"Improvement limit
",683
15,120,69,500,30.0,0.5,3.0,0.99,0.2,0.0001,"Improvement limit
",652
16,120,69,500,30.0,0.5,3.5,0.99,0.2,0.0001,"Improvement limit
",608
17,120,69,500,30.0,0.5,4.0,0.99,0.2,0.0001,"Improvement limit
",597
18,120,69,500,30.0,1.0,0.5,0.99,0.2,0.0001,"Improvement limit
",932
19,120,69,500,30.0,1.0,1.0,0.99,0.2,0.0001,"Improvement limit
",728
20,120,69,500,30.0,1.0,1.5,0.99,0.2,0.0001,"Improvement limit
",626
21,120,69,500,30.0,1.0,2.0,0.99,0.2,0.0001,"Improvement limit
",589
22,120,69,500,30.0,1.0,2.5,0.99,0.2,0.0001,"Improvement limit
",584
23,120,69,500,30.0,1.0,3.0,0.99,0.2,0.0001,"Improvement limit
",576
24,120,69,500,30.0,1.0,3.5,0.99,0.2,0.0001,"Improvement limit
",562
25,120,69,500,30.0,1.0,4.0,0.99,0.2,0.0001,"Improvement limit
",562
26,120,69,500,30.0,1.5,0.5,0.99,0.2,0.0001,"Improvement limit
",746
27,120,69,500,30.0,1.5,1.0,0.99,0.2,0.0001,"Improvement limit
",622
28,120,69,500,30.0,1.5,1.5,0.99,0.2,0.0001,"Improvement limit
",589
29,120,69,500,30.0,1.5,2.0,0.99,0.2,0.0001,"Improvement limit
",567
30,120,69,500,30.0,1.5,2.5,0.99,0.2,0.0001,"Improvement limit
",572
