,max_runtime,seed,itterations,ants,alpha,beta,rho,Q,tau0,exit_status,path
0,120,69,500,10.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",22938
1,120,69,500,20.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",22454
2,120,69,500,30.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",22617
3,120,69,500,40.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",22796
4,120,69,500,50.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",22721
5,120,69,500,60.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",22665
6,120,69,500,70.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",22744
7,120,69,500,80.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",22946
8,120,69,500,90.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",22710
9,120,69,500,100.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",22492
10,120,69,500,30.0,0.5,0.5,0.99,0.2,0.0001,"Improvement limit
",93333
11,120,69,500,30.0,0.5,1.0,0.99,0.2,0.0001,"Improvement limit
",57478
12,120,69,500,30.0,0.5,1.5,0.99,0.2,0.0001,"Improvement limit
",39910
13,120,69,500,30.0,0.5,2.0,0.99,0.2,0.0001,"Improvement limit
",32949
14,120,69,500,30.0,0.5,2.5,0.99,0.2,0.0001,"Improvement limit
",29454
15,120,69,500,30.0,0.5,3.0,0.99,0.2,0.0001,"Improvement limit
",27961
16,120,69,500,30.0,0.5,3.5,0.99,0.2,0.0001,"Improvement limit
",25561
17,120,69,500,30.0,0.5,4.0,0.99,0.2,0.0001,"Improvement limit
",24386
18,120,69,500,30.0,1.0,0.5,0.99,0.2,0.0001,"Improvement limit
",43511
19,120,69,500,30.0,1.0,1.0,0.99,0.2,0.0001,"Improvement limit
",31555
20,120,69,500,30.0,1.0,1.5,0.99,0.2,0.0001,"Improvement limit
",26182
21,120,69,500,30.0,1.0,2.0,0.99,0.2,0.0001,"Improvement limit
",24786
22,120,69,500,30.0,1.0,2.5,0.99,0.2,0.0001,"Improvement limit
",23366
23,120,69,500,30.0,1.0,3.0,0.99,0.2,0.0001,"Improvement limit
",23797
24,120,69,500,30.0,1.0,3.5,0.99,0.2,0.0001,"Improvement limit
",23799
25,120,69,500,30.0,1.0,4.0,0.99,0.2,0.0001,"Improvement limit
",23614
26,120,69,500,30.0,1.5,0.5,0.99,0.2,0.0001,"Natural stop
",23671
27,120,69,500,30.0,1.5,1.0,0.99,0.2,0.0001,"Improvement limit
",23905
28,120,69,500,30.0,1.5,1.5,0.99,0.2,0.0001,"Improvement limit
",22619
29,120,69,500,30.0,1.5,2.0,0.99,0.2,0.0001,"Improvement limit
",22724
30,120,69,500,30.0,1.5,2.5,0.99,0.2,0.0001,"Improvement limit
",22810
31,120,69,500,30.0,1.5,3.0,0.99,0.2,0.0001,"Improvement limit
",22792
32,120,69,500,30.0,1.5,3.5,0.99,0.2,0.0001,"Improvement limit
",22062
33,120,69,500,30.0,1.5,4.0,0.99,0.2,0.0001,"Improvement limit
",22453
34,120,69,500,30.0,2.0,0.5,0.99,0.2,0.0001,"Improvement limit
",25202
35,120,69,500,30.0,2.0,1.0,0.99,0.2,0.0001,"Improvement limit
",23295
36,120,69,500,30.0,2.0,1.5,0.99,0.2,0.0001,"Improvement limit
",23071
37,120,69,500,30.0,2.0,2.0,0.99,0.2,0.0001,"Improvement limit
",23305
38,120,69,500,30.0,2.0,2.5,0.99,0.2,0.0001,"Improvement limit
",22590
39,120,69,500,30.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",22617
40,120,69,500,30.0,2.0,3.5,0.99,0.2,0.0001,"Improvement limit
",22618
41,120,69,500,30.0,2.0,4.0,0.99,0.2,0.0001,"Improvement limit
",22523
42,120,69,500,30.0,2.5,0.5,0.99,0.2,0.0001,"Improvement limit
",27551
43,120,69,500,30.0,2.5,1.0,0.99,0.2,0.0001,"Improvement limit
",25506
44,120,69,500,30.0,2.5,1.5,0.99,0.2,0.0001,"Improvement limit
",22975
45,120,69,500,30.0,2.5,2.0,0.99,0.2,0.0001,"Improvement limit
",22893
46,120,69,500,30.0,2.5,2.5,0.99,0.2,0.0001,"Improvement limit
",23999
47,120,69,500,30.0,2.5,3.0,0.99,0.2,0.0001,"Improvement limit
",23540
48,120,69,500,30.0,2.5,3.5,0.99,0.2,0.0001,"Improvement limit
",23766
49,120,69,500,30.0,2.5,4.0,0.99,0.2,0.0001,"Improvement limit
",22326
50,120,69,500,30.0,3.0,0.5,0.99,0.2,0.0001,"Improvement limit
",26836
51,120,69,500,30.0,3.0,1.0,0.99,0.2,0.0001,"Improvement limit
",25906
