,max_runtime,seed,itterations,ants,alpha,beta,rho,Q,tau0,exit_status,path
0,120,69,500,10.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",50214
1,120,69,500,43.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",48505
2,120,69,500,77.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",48135
3,120,69,500,110.0,2.0,3.0,0.99,0.2,0.0001,"Time limit
",48271
4,120,69,500,143.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",48740
5,120,69,500,177.0,2.0,3.0,0.99,0.2,0.0001,"Time limit
",47303
6,120,69,500,210.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",48652
7,120,69,500,243.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",48363
8,120,69,500,277.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",46617
9,120,69,500,310.0,2.0,3.0,0.99,0.2,0.0001,"Time limit
",47931
10,120,69,500,30.0,0.5,0.5,0.99,0.2,0.0001,"Improvement limit
",456853
11,120,69,500,30.0,0.5,1.0,0.99,0.2,0.0001,"Improvement limit
",297818
12,120,69,500,30.0,0.5,1.5,0.99,0.2,0.0001,"Natural stop
",97765
13,120,69,500,30.0,0.5,2.0,0.99,0.2,0.0001,"Improvement limit
",84261
14,120,69,500,30.0,0.5,2.5,0.99,0.2,0.0001,"Improvement limit
",66143
15,120,69,500,30.0,0.5,3.0,0.99,0.2,0.0001,"Improvement limit
",65546
16,120,69,500,30.0,0.5,3.5,0.99,0.2,0.0001,"Improvement limit
",58871
17,120,69,500,30.0,0.5,4.0,0.99,0.2,0.0001,"Improvement limit
",53792
18,120,69,500,30.0,1.0,0.5,0.99,0.2,0.0001,"Natural stop
",161838
19,120,69,500,30.0,1.0,1.0,0.99,0.2,0.0001,"Natural stop
",69381
20,120,69,500,30.0,1.0,1.5,0.99,0.2,0.0001,"Improvement limit
",57140
21,120,69,500,30.0,1.0,2.0,0.99,0.2,0.0001,"Improvement limit
",54488
22,120,69,500,30.0,1.0,2.5,0.99,0.2,0.0001,"Improvement limit
",53169
23,120,69,500,30.0,1.0,3.0,0.99,0.2,0.0001,"Improvement limit
",49694
24,120,69,500,30.0,1.0,3.5,0.99,0.2,0.0001,"Improvement limit
",50323
25,120,69,500,30.0,1.0,4.0,0.99,0.2,0.0001,"Improvement limit
",48777
26,120,69,500,30.0,1.5,0.5,0.99,0.2,0.0001,"Improvement limit
",444628
27,120,69,500,30.0,1.5,1.0,0.99,0.2,0.0001,"Natural stop
",49638
28,120,69,500,30.0,1.5,1.5,0.99,0.2,0.0001,"Improvement limit
",52617
29,120,69,500,30.0,1.5,2.0,0.99,0.2,0.0001,"Improvement limit
",50991
30,120,69,500,30.0,1.5,2.5,0.99,0.2,0.0001,"Improvement limit
",49101
31,120,69,500,30.0,1.5,3.0,0.99,0.2,0.0001,"Improvement limit
",47818
32,120,69,500,30.0,1.5,3.5,0.99,0.2,0.0001,"Improvement limit
",48725
33,120,69,500,30.0,1.5,4.0,0.99,0.2,0.0001,"Improvement limit
",48998
34,120,69,500,30.0,2.0,0.5,0.99,0.2,0.0001,"Improvement limit
",53934
35,120,69,500,30.0,2.0,1.0,0.99,0.2,0.0001,"Improvement limit
",51368
36,120,69,500,30.0,2.0,1.5,0.99,0.2,0.0001,"Improvement limit
",50477
37,120,69,500,30.0,2.0,2.0,0.99,0.2,0.0001,"Improvement limit
",47042
38,120,69,500,30.0,2.0,2.5,0.99,0.2,0.0001,"Improvement limit
",48883
39,120,69,500,30.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",46835
40,120,69,500,30.0,2.0,3.5,0.99,0.2,0.0001,"Improvement limit
",47600
