,max_runtime,seed,itterations,ants,alpha,beta,rho,Q,tau0,exit_status,path
0,120,69,500,10.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",128825
1,120,69,500,57.0,2.0,3.0,0.99,0.2,0.0001,"Time limit
",120868
2,120,69,500,103.0,2.0,3.0,0.99,0.2,0.0001,"Time limit
",125657
3,120,69,500,150.0,2.0,3.0,0.99,0.2,0.0001,"Time limit
",124770
4,120,69,500,197.0,2.0,3.0,0.99,0.2,0.0001,"Time limit
",126395
5,120,69,500,243.0,2.0,3.0,0.99,0.2,0.0001,"Time limit
",126487
6,120,69,500,290.0,2.0,3.0,0.99,0.2,0.0001,"Time limit
",125212
7,120,69,500,337.0,2.0,3.0,0.99,0.2,0.0001,"Time limit
",125682
8,120,69,500,383.0,2.0,3.0,0.99,0.2,0.0001,"Time limit
",126852
9,120,69,500,430.0,2.0,3.0,0.99,0.2,0.0001,"Time limit
",128900
10,120,69,500,30.0,0.5,0.5,0.99,0.2,0.0001,"Improvement limit
",1422081
11,120,69,500,30.0,0.5,1.0,0.99,0.2,0.0001,"Improvement limit
",972129
12,120,69,500,30.0,0.5,1.5,0.99,0.2,0.0001,"Time limit
",372724
13,120,69,500,30.0,0.5,2.0,0.99,0.2,0.0001,"Improvement limit
",267681
14,120,69,500,30.0,0.5,2.5,0.99,0.2,0.0001,"Time limit
",179608
15,120,69,500,30.0,0.5,3.0,0.99,0.2,0.0001,"Improvement limit
",174854
16,120,69,500,30.0,0.5,3.5,0.99,0.2,0.0001,"Improvement limit
",157406
17,120,69,500,30.0,0.5,4.0,0.99,0.2,0.0001,"Improvement limit
",150352
18,120,69,500,30.0,1.0,0.5,0.99,0.2,0.0001,"Improvement limit
",1423685
19,120,69,500,30.0,1.0,1.0,0.99,0.2,0.0001,"Time limit
",420042
20,120,69,500,30.0,1.0,1.5,0.99,0.2,0.0001,"Time limit
",201096
21,120,69,500,30.0,1.0,2.0,0.99,0.2,0.0001,"Improvement limit
",182418
22,120,69,500,30.0,1.0,2.5,0.99,0.2,0.0001,"Time limit
",146251
23,120,69,500,30.0,1.0,3.0,0.99,0.2,0.0001,"Improvement limit
",151256
24,120,69,500,30.0,1.0,3.5,0.99,0.2,0.0001,"Improvement limit
",146516
25,120,69,500,30.0,1.0,4.0,0.99,0.2,0.0001,"Improvement limit
",133289
26,120,69,500,30.0,1.5,0.5,0.99,0.2,0.0001,"Improvement limit
",1435941
27,120,69,500,30.0,1.5,1.0,0.99,0.2,0.0001,"Improvement limit
",962323
28,120,69,500,30.0,1.5,1.5,0.99,0.2,0.0001,"Time limit
",142193
29,120,69,500,30.0,1.5,2.0,0.99,0.2,0.0001,"Time limit
",130980
30,120,69,500,30.0,1.5,2.5,0.99,0.2,0.0001,"Time limit
",125326
31,120,69,500,30.0,1.5,3.0,0.99,0.2,0.0001,"Improvement limit
",125492
32,120,69,500,30.0,1.5,3.5,0.99,0.2,0.0001,"Improvement limit
",124341
33,120,69,500,30.0,1.5,4.0,0.99,0.2,0.0001,"Improvement limit
",125177
34,120,69,500,30.0,2.0,0.5,0.99,0.2,0.0001,"Improvement limit
",1435089
35,120,69,500,30.0,2.0,1.0,0.99,0.2,0.0001,"Time limit
",137489
36,120,69,500,30.0,2.0,1.5,0.99,0.2,0.0001,"Time limit
",121526
37,120,69,500,30.0,2.0,2.0,0.99,0.2,0.0001,"Time limit
",125363
38,120,69,500,30.0,2.0,2.5,0.99,0.2,0.0001,"Time limit
",119630
39,120,69,500,30.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",122526
40,120,69,500,30.0,2.0,3.5,0.99,0.2,0.0001,"Improvement limit
",118800
41,120,69,500,30.0,2.0,4.0,0.99,0.2,0.0001,"Improvement limit
",122212
42,120,69,500,30.0,2.5,0.5,0.99,0.2,0.0001,"Improvement limit
",1409937
43,120,69,500,30.0,2.5,1.0,0.99,0.2,0.0001,"Time limit
",129740
44,120,69,500,30.0,2.5,1.5,0.99,0.2,0.0001,"Time limit
",125174
45,120,69,500,30.0,2.5,2.0,0.99,0.2,0.0001,"Improvement limit
",130260
46,120,69,500,30.0,2.5,2.5,0.99,0.2,0.0001,"Improvement limit
",124802
47,120,69,500,30.0,2.5,3.0,0.99,0.2,0.0001,"Improvement limit
",121416
48,120,69,500,30.0,2.5,3.5,0.99,0.2,0.0001,"Improvement limit
",120705
49,120,69,500,30.0,2.5,4.0,0.99,0.2,0.0001,"Improvement limit
",120706
50,120,69,500,30.0,3.0,0.5,0.99,0.2,0.0001,"Improvement limit
",1421241
51,120,69,500,30.0,3.0,1.0,0.99,0.2,0.0001,"Improvement limit
",125979
52,120,69,500,30.0,3.0,1.5,0.99,0.2,0.0001,"Improvement limit
",129062
53,120,69,500,30.0,3.0,2.0,0.99,0.2,0.0001,"Improvement limit
",129562
54,120,69,500,30.0,3.0,2.5,0.99,0.2,0.0001,"Improvement limit
",123287
55,120,69,500,30.0,3.0,3.0,0.99,0.2,0.0001,"Improvement limit
",126702
56,120,69,500,30.0,3.0,3.5,0.99,0.2,0.0001,"Improvement limit
",121202
57,120,69,500,30.0,3.0,4.0,0.99,0.2,0.0001,"Improvement limit
",120883
58,120,69,500,30.0,3.5,0.5,0.99,0.2,0.0001,"Time limit
",151181
59,120,69,500,30.0,3.5,1.0,0.99,0.2,0.0001,"Improvement limit
",133614
60,120,69,500,30.0,3.5,1.5,0.99,0.2,0.0001,"Improvement limit
",124968
61,120,69,500,30.0,3.5,2.0,0.99,0.2,0.0001,"Improvement limit
",125751
62,120,69,500,30.0,3.5,2.5,0.99,0.2,0.0001,"Improvement limit
",127484
63,120,69,500,30.0,3.5,3.0,0.99,0.2,0.0001,"Improvement limit
",122517
64,120,69,500,30.0,3.5,3.5,0.99,0.2,0.0001,"Improvement limit
",120793
65,120,69,500,30.0,3.5,4.0,0.99,0.2,0.0001,"Improvement limit
",121358
66,120,69,500,30.0,4.0,0.5,0.99,0.2,0.0001,"Improvement limit
",1431996
67,120,69,500,30.0,4.0,1.0,0.99,0.2,0.0001,"Improvement limit
",135895
68,120,69,500,30.0,4.0,1.5,0.99,0.2,0.0001,"Improvement limit
",127097
69,120,69,500,30.0,4.0,2.0,0.99,0.2,0.0001,"Improvement limit
",129090
70,120,69,500,30.0,4.0,2.5,0.99,0.2,0.0001,"Improvement limit
",126856
71,120,69,500,30.0,4.0,3.0,0.99,0.2,0.0001,"Improvement limit
",125113
72,120,69,500,30.0,4.0,3.5,0.99,0.2,0.0001,"Improvement limit
",126748
73,120,69,500,30.0,4.0,4.0,0.99,0.2,0.0001,"Improvement limit
",120011
74,120,69,500,30.0,2.0,3.0,0.6400000000000001,0.2,0.0001,"Improvement limit
",127320
75,120,69,500,30.0,2.0,3.0,0.6725210478254342,0.2,0.0001,"Improvement limit
",124904
76,120,69,500,30.0,2.0,3.0,0.7066946246378438,0.2,0.0001,"Improvement limit
",125898
